Order Date,Product Name,Category,Region,Quantity,Sales,Profit
12/5/2023,Tablet,Electronics,East,5,4730,1365.63
6/3/2022,Mouse,Accessories,West,6,5460,845.75
12/28/2024,Headphones,Accessories,East,5,5795,310.6
8/6/2022,Laptop,Electronics,South,4,2008,338.44
6/6/2023,Mouse,Accessories,South,7,2842,425.24
2/1/2024,Mouse,Accessories,East,4,3404,392.22
5/31/2023,Smartwatch,Electronics,West,1,1065,228.63
6/14/2024,Tablet,Electronics,West,7,2149,121.69
8/14/2024,Keyboard,Accessories,East,8,5912,1143.04
2/1/2023,Mouse,Accessories,West,3,3348,331.28
4/28/2024,Smartphone,Electronics,South,3,2409,531.79
4/5/2024,Tablet,Electronics,North,2,328,39.51
1/31/2024,Smartphone,Electronics,West,8,6224,1561.42
1/9/2024,Smartwatch,Electronics,North,5,2530,486.09
4/6/2022,Headphones,Accessories,West,4,4108,462.17
5/22/2024,Printer,Office,South,5,1640,391.36
12/30/2023,Laptop,Electronics,South,1,111,19.33
3/17/2022,Headphones,Accessories,North,1,445,128.89
5/24/2022,Printer,Office,North,4,3600,623.72
6/9/2024,Mouse,Accessories,North,3,1335,176.44
12/1/2024,Keyboard,Accessories,South,5,3090,242.15
10/20/2023,Printer,Office,East,5,3910,538.52
3/5/2024,Camera,Electronics,South,1,219,32.67
12/5/2022,Smartphone,Electronics,West,5,390,27.77
8/5/2022,Laptop,Electronics,North,6,3294,359.61
3/21/2023,Keyboard,Accessories,West,4,4572,1038.05
2/8/2022,Monitor,Accessories,South,7,980,109.94
4/1/2023,Headphones,Accessories,North,2,2262,532.12
12/14/2022,Camera,Electronics,South,7,7518,1655.91
5/14/2022,Camera,Electronics,South,1,873,158.97
2/16/2022,Mouse,Accessories,North,6,1512,423.03
8/28/2024,Laptop,Electronics,West,1,705,165.16
10/30/2023,Smartwatch,Electronics,North,8,3256,533.7
6/24/2023,Tablet,Electronics,West,4,556,81.77
5/17/2023,Mouse,Accessories,East,9,7101,2105.82
4/6/2023,Laptop,Electronics,West,9,8802,1344.96
3/26/2023,Headphones,Accessories,South,6,5592,1294.16
10/12/2024,Tablet,Electronics,North,2,1852,168.92
6/26/2022,Monitor,Accessories,East,1,195,57.88
4/15/2022,Mouse,Accessories,East,9,7884,2054.02
12/10/2023,Laptop,Electronics,East,5,4360,1160.55
9/23/2024,Mouse,Accessories,North,6,4920,929.18
1/1/2022,Mouse,Accessories,East,3,3474,565
2/3/2022,Keyboard,Accessories,West,1,930,222.5
3/14/2023,Tablet,Electronics,South,7,1421,248.02
8/24/2022,Headphones,Accessories,North,2,634,161.1
7/7/2024,Camera,Electronics,East,1,673,114.42
4/13/2022,Mouse,Accessories,South,5,3135,787.7
5/8/2024,Smartphone,Electronics,East,6,882,184.48
9/10/2024,Smartphone,Electronics,East,4,1192,212.77
6/18/2024,Printer,Office,South,3,390,112.08
9/10/2024,Tablet,Electronics,North,1,834,95.54
5/6/2022,Smartphone,Electronics,East,6,612,83.75
6/18/2024,Headphones,Accessories,West,9,8073,710.23
10/29/2023,Keyboard,Accessories,North,8,2640,723.88
11/13/2023,Smartphone,Electronics,North,3,3234,440.7
8/21/2022,Monitor,Accessories,West,5,4435,355.51
3/4/2024,Smartwatch,Electronics,North,2,2302,305.07
4/17/2022,Camera,Electronics,East,6,1728,307.44
12/20/2023,Laptop,Electronics,East,4,228,54.05
3/19/2022,Tablet,Electronics,West,6,3450,705.74
7/7/2024,Smartphone,Electronics,South,8,7456,1702.48
4/30/2023,Smartphone,Electronics,West,6,4728,705.85
3/22/2024,Smartwatch,Electronics,North,7,945,124.62
3/8/2022,Laptop,Electronics,North,4,296,65.05
9/15/2023,Smartphone,Electronics,West,4,640,149.89
3/1/2023,Tablet,Electronics,North,1,797,65.27
10/24/2023,Monitor,Accessories,North,4,1456,431.89
4/22/2024,Monitor,Accessories,South,6,4038,364.11
6/27/2023,Tablet,Electronics,West,7,5656,355.81
4/13/2023,Mouse,Accessories,West,4,3876,302.37
5/19/2023,Keyboard,Accessories,South,6,1002,114.7
11/15/2024,Headphones,Accessories,East,9,2187,413.76
12/25/2023,Mouse,Accessories,North,6,7146,1627.42
3/31/2022,Keyboard,Accessories,South,1,189,14.88
4/24/2024,Monitor,Accessories,East,5,940,266.02
1/10/2022,Headphones,Accessories,North,1,951,127.58
11/17/2022,Printer,Office,East,2,124,27.42
6/29/2024,Mouse,Accessories,West,9,7506,594.28
11/14/2022,Monitor,Accessories,West,7,8176,2308.76
8/11/2023,Smartphone,Electronics,East,5,2125,632.68
5/22/2024,Headphones,Accessories,North,1,967,59.98
3/19/2022,Headphones,Accessories,South,5,270,29.41
10/23/2022,Keyboard,Accessories,West,9,10035,1486.3
2/26/2023,Printer,Office,North,8,6792,1125.23
10/3/2024,Printer,Office,East,1,714,99.13
7/17/2022,Smartphone,Electronics,South,5,765,157.64
11/4/2024,Headphones,Accessories,East,7,4221,358.02
2/24/2023,Laptop,Electronics,North,4,2108,576.48
8/8/2024,Monitor,Accessories,North,9,10530,2387.63
5/14/2024,Keyboard,Accessories,South,6,3396,914.17
1/15/2022,Monitor,Accessories,North,4,1060,213.05
5/10/2022,Tablet,Electronics,East,5,480,73.07
3/10/2022,Headphones,Accessories,West,3,2529,285.65
1/23/2022,Smartwatch,Electronics,East,8,4792,511.97
9/19/2024,Smartwatch,Electronics,East,8,8056,605.8
6/6/2024,Tablet,Electronics,North,4,4228,947.76
10/10/2024,Tablet,Electronics,East,1,653,93.78
3/24/2024,Tablet,Electronics,North,9,7452,1212.51
7/21/2023,Mouse,Accessories,East,4,4128,1156.71
7/21/2022,Tablet,Electronics,West,5,5090,1201.56
9/1/2022,Camera,Electronics,North,5,4930,387.33
4/20/2023,Smartwatch,Electronics,South,6,2610,434.37
12/11/2023,Laptop,Electronics,North,3,2139,415.84
9/29/2024,Tablet,Electronics,South,1,226,55.4
11/20/2023,Smartwatch,Electronics,West,2,2244,212.08
7/15/2023,Monitor,Accessories,East,6,3150,578.87
12/24/2023,Laptop,Electronics,South,7,3388,347.19
8/13/2023,Laptop,Electronics,East,8,8736,580.31
4/24/2022,Smartphone,Electronics,South,2,1102,176.53
7/13/2024,Monitor,Accessories,East,3,2640,199.97
6/11/2022,Printer,Office,West,3,2547,300.74
10/28/2024,Laptop,Electronics,North,7,728,64.82
11/24/2022,Camera,Electronics,South,7,3444,607.44
10/3/2024,Camera,Electronics,West,5,3140,853.66
3/24/2024,Smartphone,Electronics,East,3,435,129.27
6/28/2024,Keyboard,Accessories,East,4,856,72.99
5/31/2022,Printer,Office,North,2,112,23.33
3/25/2024,Headphones,Accessories,North,3,2247,507.79
1/31/2023,Keyboard,Accessories,West,2,1512,298.73
6/23/2024,Mouse,Accessories,South,5,4915,1196.6
8/16/2023,Mouse,Accessories,South,3,2709,663.54
6/10/2023,Tablet,Electronics,North,7,1239,118.36
5/9/2023,Tablet,Electronics,West,2,572,86.16
5/8/2022,Smartwatch,Electronics,North,2,1708,93.25
11/6/2024,Smartwatch,Electronics,North,4,360,42.66
12/8/2022,Camera,Electronics,North,6,3822,388.34
9/25/2022,Camera,Electronics,North,6,4680,932.97
7/10/2024,Camera,Electronics,North,5,2520,487.18
3/29/2024,Smartwatch,Electronics,North,2,2138,619.29
1/11/2022,Keyboard,Accessories,West,3,2529,169.6
4/8/2022,Keyboard,Accessories,East,1,236,29.33
1/21/2024,Tablet,Electronics,West,6,2730,636.48
4/27/2023,Headphones,Accessories,North,3,3021,872.49
11/6/2024,Smartwatch,Electronics,North,2,244,16.78
5/11/2022,Camera,Electronics,South,8,728,120.06
10/2/2022,Mouse,Accessories,North,3,453,89.49
1/12/2022,Laptop,Electronics,South,1,379,84.38
1/9/2023,Tablet,Electronics,West,3,2130,510.69
5/4/2023,Monitor,Accessories,North,8,4120,710.11
9/7/2024,Smartwatch,Electronics,South,7,3150,299.7
5/17/2022,Smartwatch,Electronics,East,7,2688,603.07
8/17/2023,Tablet,Electronics,East,2,1752,501.19
9/7/2023,Keyboard,Accessories,North,7,7308,948.4
5/11/2022,Tablet,Electronics,North,3,2007,160.84
5/12/2023,Tablet,Electronics,West,7,7224,479.23
5/8/2023,Monitor,Accessories,South,9,6939,1249.31
2/18/2023,Smartphone,Electronics,East,7,5516,1475.67
1/29/2022,Printer,Office,South,2,2224,116.47
1/12/2023,Laptop,Electronics,South,5,3985,824.4
1/3/2022,Camera,Electronics,North,7,2723,638.26
10/20/2022,Tablet,Electronics,North,2,746,170.75
8/21/2024,Laptop,Electronics,West,5,3170,245.25
12/11/2023,Smartwatch,Electronics,East,5,550,63.11
8/14/2022,Tablet,Electronics,North,8,480,132.45
6/3/2024,Printer,Office,East,4,3284,354.4
1/23/2024,Smartwatch,Electronics,South,2,1748,183.75
11/20/2023,Headphones,Accessories,North,8,824,240.84
3/3/2022,Headphones,Accessories,North,4,1872,448.46
2/20/2024,Tablet,Electronics,West,3,627,103.98
8/9/2024,Camera,Electronics,East,9,5661,1104.02
6/19/2022,Camera,Electronics,North,3,2910,765.47
9/1/2024,Tablet,Electronics,South,9,9036,1087.46
8/30/2024,Tablet,Electronics,West,5,4815,338.31
8/12/2022,Mouse,Accessories,South,1,1187,206.28
8/4/2022,Headphones,Accessories,East,3,3339,732.92
2/20/2024,Tablet,Electronics,East,1,620,165.43
2/26/2023,Camera,Electronics,West,5,2025,414.42
11/20/2024,Printer,Office,East,5,3030,811.92
8/12/2023,Smartwatch,Electronics,North,5,655,166.69
1/17/2022,Printer,Office,West,2,2238,294.54
4/12/2023,Smartphone,Electronics,South,8,3312,811.31
7/26/2023,Printer,Office,East,9,9387,1271.64
1/1/2024,Mouse,Accessories,West,6,5790,1285.21
12/6/2023,Laptop,Electronics,South,6,2700,527.97
12/5/2023,Smartwatch,Electronics,East,8,2072,555.06
10/27/2024,Keyboard,Accessories,North,3,2991,716.54
8/4/2024,Laptop,Electronics,East,6,5568,958.59
2/1/2023,Smartwatch,Electronics,North,7,5509,1648.74
6/2/2024,Printer,Office,West,7,5922,1323.1
4/28/2024,Smartphone,Electronics,South,4,4380,362.81
3/25/2022,Tablet,Electronics,South,5,1760,272.68
10/5/2024,Headphones,Accessories,North,9,5571,1523.81
12/19/2024,Tablet,Electronics,South,2,1082,182.1
7/18/2022,Camera,Electronics,East,1,569,138.11
6/11/2023,Mouse,Accessories,North,8,3416,697.42
10/13/2024,Printer,Office,West,1,570,57.07
8/7/2023,Monitor,Accessories,East,6,3300,386.92
12/4/2022,Laptop,Electronics,South,8,2584,568.77
2/18/2024,Monitor,Accessories,South,9,7650,2204.44
12/5/2024,Headphones,Accessories,West,8,3600,272.51
12/15/2023,Monitor,Accessories,West,6,846,190.87
8/12/2023,Smartphone,Electronics,West,1,51,9.36
5/20/2024,Smartwatch,Electronics,South,6,7056,586.91
6/5/2024,Smartwatch,Electronics,West,2,384,38.41
1/9/2022,Laptop,Electronics,South,8,2928,663.54
12/17/2023,Camera,Electronics,West,7,1904,352.86
9/8/2022,Tablet,Electronics,East,2,2314,312.07
1/22/2022,Printer,Office,South,4,1028,192.13
9/4/2024,Headphones,Accessories,South,9,8307,1326.23
1/20/2024,Printer,Office,West,9,1539,203.54
11/3/2022,Tablet,Electronics,West,7,2506,537.98
7/3/2023,Smartphone,Electronics,West,6,5778,1232.54
1/25/2024,Tablet,Electronics,East,9,10188,2165.78
5/11/2024,Monitor,Accessories,North,1,952,157.7
1/2/2024,Smartwatch,Electronics,West,8,3624,750.86
2/24/2023,Keyboard,Accessories,South,8,7968,1551.12
7/20/2024,Mouse,Accessories,South,2,1254,250.09
6/14/2023,Printer,Office,West,3,705,196.05
4/10/2022,Mouse,Accessories,West,1,916,223.5
10/1/2024,Printer,Office,North,2,848,129.96
5/10/2022,Monitor,Accessories,East,8,2240,313.17
1/28/2022,Monitor,Accessories,South,1,940,120.35
4/5/2023,Headphones,Accessories,West,5,1550,203.51
9/22/2023,Keyboard,Accessories,South,7,2352,256.4
8/29/2024,Smartwatch,Electronics,North,9,1638,183.75
11/18/2023,Camera,Electronics,North,6,7164,1442.72
9/12/2023,Mouse,Accessories,East,1,205,54.54
5/26/2023,Keyboard,Accessories,North,2,766,49.23
4/30/2023,Keyboard,Accessories,North,1,168,17.84
11/1/2024,Mouse,Accessories,South,1,1058,207.55
5/6/2022,Keyboard,Accessories,South,5,1455,423.81
5/10/2023,Camera,Electronics,East,2,2224,364.04
11/4/2022,Smartphone,Electronics,West,7,1400,80.49
5/9/2022,Smartphone,Electronics,East,7,7567,2213.18
11/7/2022,Tablet,Electronics,East,6,3396,987.68
8/11/2023,Smartwatch,Electronics,East,2,704,135.63
10/21/2024,Tablet,Electronics,East,9,7767,2172.19
10/6/2024,Mouse,Accessories,West,5,2050,157.13
8/8/2023,Monitor,Accessories,North,9,10458,2799.48
1/19/2022,Camera,Electronics,South,4,4700,619.26
4/30/2024,Smartphone,Electronics,North,2,892,222.51
12/26/2023,Laptop,Electronics,East,8,6968,1479.09
4/7/2024,Laptop,Electronics,North,7,1344,300.88
10/18/2022,Camera,Electronics,West,1,354,65.99
4/21/2024,Monitor,Accessories,South,3,3051,662.23
3/26/2024,Camera,Electronics,South,3,402,106.87
10/31/2022,Monitor,Accessories,North,5,3570,517.82
3/3/2023,Keyboard,Accessories,North,7,3829,876.35
2/3/2023,Mouse,Accessories,North,7,4676,242.64
4/15/2023,Keyboard,Accessories,East,3,1119,317.36
5/9/2023,Smartphone,Electronics,East,4,4228,764.3
1/2/2022,Headphones,Accessories,North,8,1240,251.2
11/28/2024,Keyboard,Accessories,North,9,3591,342.18
2/5/2022,Printer,Office,West,8,3952,451.08
6/5/2024,Keyboard,Accessories,South,6,3648,1050.08
11/15/2024,Monitor,Accessories,North,5,3875,768.74
11/13/2023,Smartwatch,Electronics,West,8,3416,478.9
2/19/2022,Tablet,Electronics,West,1,908,222.58
5/6/2024,Headphones,Accessories,South,4,4532,987.32
8/4/2023,Headphones,Accessories,East,4,4168,650.15
9/23/2023,Laptop,Electronics,North,3,3543,941.37
9/14/2024,Laptop,Electronics,East,6,5124,1078.57
3/17/2023,Smartwatch,Electronics,South,9,5751,1196.23
9/29/2023,Camera,Electronics,East,2,624,139.64
12/1/2023,Camera,Electronics,South,1,508,151.29
9/13/2023,Headphones,Accessories,South,4,4700,914.6
3/14/2022,Keyboard,Accessories,West,8,3216,639.78
7/15/2023,Laptop,Electronics,West,6,2844,581
5/29/2022,Smartphone,Electronics,West,5,2385,258.6
1/16/2023,Monitor,Accessories,South,8,928,170.05
9/6/2023,Headphones,Accessories,North,6,4656,673.35
3/29/2023,Headphones,Accessories,North,2,330,21.46
11/1/2023,Camera,Electronics,North,7,1799,274.11
8/25/2022,Printer,Office,East,1,1029,173.61
12/30/2022,Headphones,Accessories,North,8,5432,1619.39
9/4/2024,Camera,Electronics,West,5,5785,1191.11
1/8/2024,Printer,Office,North,1,1062,272.42
12/27/2022,Keyboard,Accessories,North,1,163,22.07
4/14/2024,Smartphone,Electronics,West,9,9162,1625.62
2/10/2023,Printer,Office,East,4,1440,130.24
7/15/2023,Monitor,Accessories,South,5,1465,149.62
10/27/2024,Monitor,Accessories,West,2,366,31.23
7/19/2024,Camera,Electronics,South,5,3135,277.28
3/3/2024,Keyboard,Accessories,North,2,630,161.04
4/12/2024,Monitor,Accessories,South,1,213,42.94
6/20/2024,Monitor,Accessories,North,4,3792,1092.85
6/21/2023,Mouse,Accessories,East,2,1932,109.07
1/25/2023,Keyboard,Accessories,West,4,4152,317.28
2/17/2024,Smartphone,Electronics,North,7,3612,529.57
9/9/2024,Smartphone,Electronics,East,2,2258,280.76
7/9/2022,Camera,Electronics,South,3,594,47.73
9/1/2023,Headphones,Accessories,West,7,8071,1799.06
3/30/2024,Keyboard,Accessories,North,7,5838,631.45
12/22/2024,Keyboard,Accessories,North,4,692,181.31
9/8/2024,Keyboard,Accessories,South,3,1704,309.06
1/21/2023,Printer,Office,South,5,3235,941.24
10/12/2023,Mouse,Accessories,East,6,4746,545.57
8/1/2022,Smartwatch,Electronics,South,8,7600,788.88
11/3/2023,Smartphone,Electronics,West,5,1935,128.01
12/4/2023,Laptop,Electronics,North,3,1638,306.29
6/30/2023,Keyboard,Accessories,West,7,4746,816.6
2/1/2023,Smartphone,Electronics,North,8,4824,1187.93
5/9/2022,Camera,Electronics,South,1,1193,153.72
12/16/2023,Laptop,Electronics,East,2,562,92.94
3/20/2022,Smartphone,Electronics,North,8,6200,1296.84
7/28/2024,Printer,Office,North,8,4128,315.48
3/28/2022,Printer,Office,East,5,5405,326.56
11/6/2024,Laptop,Electronics,North,3,1371,104.66
1/1/2023,Keyboard,Accessories,West,5,1405,194.33
3/18/2023,Keyboard,Accessories,North,3,1644,158.32
9/18/2024,Mouse,Accessories,West,6,3414,396.92
8/19/2024,Laptop,Electronics,East,8,3272,674.57
6/18/2022,Smartphone,Electronics,North,3,2655,646.91
5/29/2022,Smartwatch,Electronics,West,7,1673,458.32
6/9/2022,Tablet,Electronics,East,2,846,145.09
5/3/2023,Smartphone,Electronics,East,1,985,196.64
11/17/2023,Smartwatch,Electronics,North,9,7551,894.4
2/8/2022,Tablet,Electronics,North,5,855,217.16
10/23/2023,Camera,Electronics,South,2,396,94.55
8/24/2022,Tablet,Electronics,West,8,2296,560.48
5/9/2024,Monitor,Accessories,North,6,1704,199.94
3/12/2023,Smartphone,Electronics,East,2,1180,261.16
10/5/2022,Smartphone,Electronics,East,3,411,55.73
1/19/2022,Mouse,Accessories,East,1,745,151.22
5/9/2022,Printer,Office,West,9,10656,961.3
5/23/2024,Mouse,Accessories,South,3,1494,178.5
7/11/2024,Camera,Electronics,South,5,1755,358.01
8/22/2022,Camera,Electronics,South,9,4941,894.52
11/3/2024,Smartwatch,Electronics,North,6,6510,1539.18
10/11/2024,Smartphone,Electronics,South,5,5465,719.92
11/9/2024,Tablet,Electronics,South,3,3522,285.91
4/1/2024,Tablet,Electronics,West,6,1656,139.86
7/7/2022,Printer,Office,North,5,1255,257.15
6/10/2023,Keyboard,Accessories,East,1,1192,320.13
5/15/2023,Tablet,Electronics,West,5,1925,204.74
6/8/2022,Tablet,Electronics,West,8,1688,337.33
6/26/2023,Headphones,Accessories,South,1,260,16.81
1/19/2022,Monitor,Accessories,West,5,4880,1250.66
4/10/2024,Keyboard,Accessories,West,7,1134,179.74
6/10/2022,Laptop,Electronics,North,9,9621,1201.29
2/3/2023,Monitor,Accessories,South,4,2836,698.83
5/15/2023,Printer,Office,North,9,5859,1153.89
9/11/2022,Smartwatch,Electronics,South,2,2044,460.03
7/1/2023,Monitor,Accessories,South,1,612,174.52
2/18/2022,Smartwatch,Electronics,North,3,1890,492.31
9/30/2023,Smartwatch,Electronics,East,5,2025,168.82
9/4/2023,Printer,Office,South,2,1960,312.06
7/7/2022,Camera,Electronics,North,6,4410,893.27
7/14/2024,Keyboard,Accessories,West,8,8272,2391.88
9/27/2022,Smartwatch,Electronics,West,6,5712,638.29
4/20/2024,Smartwatch,Electronics,North,6,1524,178.36
5/24/2024,Keyboard,Accessories,North,8,5160,1057.41
12/29/2024,Mouse,Accessories,East,4,2956,451.6
5/7/2023,Smartphone,Electronics,West,8,7944,2257.73
9/10/2024,Camera,Electronics,North,5,1815,535.22
3/21/2023,Headphones,Accessories,North,3,2706,546.97
5/5/2023,Laptop,Electronics,North,2,1356,144.18
7/27/2023,Printer,Office,South,6,6384,1189.19
6/13/2023,Smartwatch,Electronics,South,9,4248,964.12
5/2/2024,Monitor,Accessories,North,6,3954,676.82
4/21/2024,Smartphone,Electronics,South,6,7110,739.6
7/25/2023,Headphones,Accessories,South,7,8113,995.03
1/26/2023,Headphones,Accessories,North,3,1830,183.62
1/11/2023,Keyboard,Accessories,West,4,3732,671.19
9/27/2024,Mouse,Accessories,West,6,4062,1087.17
12/3/2024,Smartwatch,Electronics,North,1,496,93.31
8/24/2023,Smartwatch,Electronics,East,4,1104,84.31
5/19/2023,Smartphone,Electronics,West,3,2274,662
6/13/2022,Smartwatch,Electronics,North,8,4456,1106.04
8/26/2022,Mouse,Accessories,West,8,4928,1038.18
1/22/2023,Smartphone,Electronics,North,4,1740,224.79
8/8/2022,Headphones,Accessories,North,2,178,31.46
11/19/2023,Printer,Office,East,8,5296,1234.81
6/28/2023,Mouse,Accessories,North,4,4156,847.09
10/9/2024,Printer,Office,North,1,624,106.92
9/4/2022,Smartphone,Electronics,West,4,3892,1052.72
7/18/2024,Mouse,Accessories,South,9,1620,294.6
9/22/2022,Mouse,Accessories,West,3,2250,301.97
7/31/2024,Monitor,Accessories,West,2,1390,316.31
4/21/2023,Camera,Electronics,South,5,5155,1325.16
7/9/2022,Smartwatch,Electronics,North,5,1025,262.91
7/31/2024,Mouse,Accessories,South,3,1785,244.52
9/30/2022,Smartwatch,Electronics,North,9,2952,605.85
12/25/2024,Headphones,Accessories,East,1,773,181.52
3/30/2023,Tablet,Electronics,North,8,1640,361.48
10/2/2023,Keyboard,Accessories,East,1,1017,69.33
5/23/2022,Headphones,Accessories,East,4,1964,349.91
4/5/2023,Mouse,Accessories,North,3,2994,638.59
10/8/2023,Printer,Office,East,9,8046,2210.33
5/22/2022,Printer,Office,West,2,1874,271.5
8/19/2023,Mouse,Accessories,North,8,6008,871.76
9/6/2023,Camera,Electronics,East,8,7240,411.19
6/17/2024,Monitor,Accessories,South,9,1188,348.31
12/22/2024,Headphones,Accessories,North,9,2997,163.34
2/2/2023,Printer,Office,West,9,7524,2017.85
10/13/2022,Monitor,Accessories,North,5,3625,268.73
3/31/2024,Laptop,Electronics,East,8,6952,871.2
5/29/2023,Camera,Electronics,North,9,1053,283.58
12/21/2024,Monitor,Accessories,North,9,6696,1224.22
10/9/2024,Headphones,Accessories,North,2,1420,93.59
12/29/2023,Camera,Electronics,West,9,9972,2566.01
11/28/2022,Laptop,Electronics,South,8,3136,494.26
2/10/2023,Camera,Electronics,West,3,225,20.52
5/12/2022,Mouse,Accessories,East,3,1662,375.04
5/3/2024,Printer,Office,West,4,500,85.96
8/2/2022,Smartphone,Electronics,North,8,3168,747.33
12/31/2023,Smartphone,Electronics,East,1,622,104.57
4/3/2022,Tablet,Electronics,North,3,1233,361.12
1/19/2024,Laptop,Electronics,West,3,573,116.14
2/18/2022,Tablet,Electronics,South,1,702,129.34
5/14/2024,Laptop,Electronics,South,8,4832,1261.06
1/17/2023,Printer,Office,North,5,3765,670.8
5/5/2024,Camera,Electronics,North,8,6928,1415.16
2/1/2023,Headphones,Accessories,West,7,1624,436.13
4/1/2023,Headphones,Accessories,North,1,68,10.39
6/4/2023,Mouse,Accessories,North,1,651,187.99
9/16/2024,Printer,Office,North,7,6293,718.49
2/16/2023,Keyboard,Accessories,West,2,1068,85.71
10/17/2023,Keyboard,Accessories,North,1,381,26.69
7/21/2022,Printer,Office,South,2,2016,426.43
2/10/2024,Headphones,Accessories,West,2,1224,340.67
10/23/2022,Monitor,Accessories,South,5,2180,400.01
9/12/2024,Laptop,Electronics,North,9,2853,353.09
10/4/2022,Mouse,Accessories,South,1,272,45.33
3/14/2022,Smartphone,Electronics,North,4,2640,183.23
4/26/2024,Monitor,Accessories,North,2,488,129.02
11/10/2023,Printer,Office,South,8,9184,1795.93
4/12/2024,Tablet,Electronics,North,5,280,23.98
10/3/2024,Keyboard,Accessories,East,3,2889,604.45
7/18/2024,Laptop,Electronics,West,1,625,125.9
4/16/2024,Keyboard,Accessories,South,8,7056,538.48
7/11/2023,Tablet,Electronics,West,8,3936,720.2
9/19/2022,Smartwatch,Electronics,East,6,2472,363.38
6/19/2022,Mouse,Accessories,West,5,855,67.57
2/25/2024,Mouse,Accessories,West,3,3480,560.39
3/7/2023,Camera,Electronics,South,1,846,103.3
3/9/2022,Keyboard,Accessories,North,1,158,46.24
12/31/2022,Mouse,Accessories,South,9,3186,583.24
2/1/2024,Mouse,Accessories,North,7,6972,969.43
4/15/2024,Mouse,Accessories,East,5,1745,449.64
5/15/2024,Laptop,Electronics,East,8,4256,372.95
4/14/2022,Keyboard,Accessories,South,3,1674,499.63
9/25/2024,Camera,Electronics,North,8,6488,1072.86
3/5/2022,Tablet,Electronics,East,5,3530,803.86
